Experiment,group,food,temperature,stage,val,val_li,val_ui,intercept,intercept_li,intercept_ui,p_not_zero,N,diff_val,diff_li,diff_ui,diff_p,replicate_id
AMP100_Dosage_Series,1mM,UV,20,vigorous_vs_death,0.890119701,0.770841233,1.009398169,2.494957598,1.218412815,3.771502381,0,85,0.119878649,0.013428176,0.267000428,0.0052,5
AMP100_Dosage_Series,4mM,UV,20,movement_vs_death,1.013707311,0.971744572,1.05567005,0.028531588,-0.317791913,0.374855088,0,221,-0.014192918,-0.048134358,0.013703236,0.828,5
AMP100_Dosage_Series,4mM,UV,20,vigorous_vs_death,1.020815131,0.888966708,1.152663554,1.040232191,0.094727318,1.985737064,0,221,-0.018158496,-0.135790526,0.112115191,0.6356,5
AMP100_Dosage_Series,0.187mM,UV,20,movement_vs_death,0.907563578,0.681527999,1.133599156,2.525323115,-0.225933102,5.276579332,0,163,0.099766396,-0.131933642,0.301501854,0.1728,5
AMP100_Dosage_Series,0.187mM,UV,20,vigorous_vs_death,0.794366913,0.539652536,1.049081291,4.619593877,1.750031706,7.489156049,0,163,0.221494245,-0.011340945,0.497795092,0.0276,5
nuo6_hif1_21_to_27C,wildtype UV-Inactivated 21-25C,UV,20,movement_vs_death,0.917294714,0.830761484,1.003827944,2.54216071,1.044676194,4.039645226,0,328,0.082222812,0.008347293,0.168403349,0.0196,7
nuo6_hif1_21_to_27C,wildtype UV-Inactivated 21-25C,UV,20,vigorous_vs_death,0.701765357,0.522819875,0.880710839,7.817850993,5.13188321,10.50381878,0,328,0.293930435,0.126766806,0.437316745,8.00E-04,7
nuo6_hif1_21_to_27C,MQ1333,UV,20,movement_vs_death,0.975016936,0.938922021,1.01111185,1.344666476,0.58831534,2.101017612,0,133,0.025074,-0.016396556,0.078615177,0.1544,7
nuo6_hif1_21_to_27C,MQ1333,UV,20,vigorous_vs_death,0.767891907,0.678936732,0.856847082,8.522484307,6.983074324,10.06189429,0,133,0.233171258,0.123088969,0.351306961,0,7
stirred_lifespan,HT1593,Live,25,movement_vs_death,0.932662341,0.85546228,1.009862402,1.222785794,0.481876064,1.963695525,0,181,0.068265234,0.006911706,0.18490384,0.03,8
stirred_lifespan,HT1593,Live,25,vigorous_vs_death,0.721812077,0.470011017,0.973613138,7.133562663,6.106342401,8.160782925,1.93E-08,181,0.27847891,0.030829082,0.519674572,0.0136,8
stirred_lifespan,wildtype OP50 25C,Live,25,movement_vs_death,1.040227301,0.976150783,1.104303819,0.063531285,-0.664508624,0.791571194,0,99,-0.041814804,-0.093631813,0.008216989,0.9524,8
stirred_lifespan,wildtype OP50 25C,Live,25,vigorous_vs_death,1.083253688,0.876540045,1.289967332,2.144032117,0.300694303,3.987369932,0,99,-0.080629533,-0.253640539,0.119576907,0.8008,8
ant_dosage_3,0.005565,UV,20,movement_vs_death,0.936547621,0.797871512,1.075223729,4.228262158,3.339665016,5.1168593,0,312,0.060502772,-0.112808504,0.198097895,0.2076,9
ant_dosage_3,0.005565,UV,20,vigorous_vs_death,0.909471001,0.488182483,1.330759519,8.851697398,8.245263321,9.458131476,3.77E-11,312,0.085821165,-0.425898336,0.624594304,0.3592,9
ant_dosage_3,0.004309,UV,20,movement_vs_death,1.129892644,0.920386189,1.339399099,3.177606892,1.99111414,4.364099644,0,276,-0.128887173,-0.338482367,0.089243186,0.8792,9
ant_dosage_3,0.004309,UV,20,vigorous_vs_death,1.02732128,0.586450125,1.468192435,7.861643205,7.029661269,8.693625142,1.67E-15,276,-0.016836477,-0.460164837,0.436452481,0.55,9
